fold,seed,regenerated_precision,reference_precision,precision_difference,precision_match,regenerated_recall,reference_recall,recall_difference,recall_match,regenerated_f1_score,reference_f1_score,f1_score_difference,f1_score_match,all_metrics_match
1,42,0.3372093023255814,0.3372093023255814,0.0,True,0.725,0.725,0.0,True,0.4603174603174603,0.4603174603174603,0.0,True,True
1,123,0.3372093023255814,0.3372093023255814,0.0,True,0.725,0.725,0.0,True,0.4603174603174603,0.4603174603174603,0.0,True,True
1,2026,0.3170454545454545,0.3170454545454545,0.0,True,0.6975,0.6975,0.0,True,0.4359375,0.4359375,0.0,True,True
1,7,0.3170454545454545,0.3170454545454545,0.0,True,0.6975,0.6975,0.0,True,0.4359375,0.4359375,0.0,True,True
1,999,0.3372093023255814,0.3372093023255814,0.0,True,0.725,0.725,0.0,True,0.4603174603174603,0.4603174603174603,0.0,True,True
2,42,0.39470899470899473,0.3947089947089947,5.551115123125783e-17,True,0.9371859296482412,0.9371859296482412,0.0,True,0.5554728220402085,0.5554728220402085,0.0,True,True
2,123,0.39470899470899473,0.3947089947089947,5.551115123125783e-17,True,0.9371859296482412,0.9371859296482412,0.0,True,0.5554728220402085,0.5554728220402085,0.0,True,True
2,2026,0.35855855855855856,0.3585585585585585,5.551115123125783e-17,True,1.0,1.0,0.0,True,0.5278514588859416,0.5278514588859416,0.0,True,True
2,7,0.35855855855855856,0.3585585585585585,5.551115123125783e-17,True,1.0,1.0,0.0,True,0.5278514588859416,0.5278514588859416,0.0,True,True
2,999,0.35855855855855856,0.3585585585585585,5.551115123125783e-17,True,1.0,1.0,0.0,True,0.5278514588859416,0.5278514588859416,0.0,True,True
3,42,0.4912663755458515,0.4912663755458515,0.0,True,0.5653266331658291,0.5653266331658291,0.0,True,0.5257009345794392,0.5257009345794392,0.0,True,True
3,123,0.3742550655542312,0.3742550655542312,0.0,True,0.7889447236180904,0.7889447236180904,0.0,True,0.50767987065481,0.50767987065481,0.0,True,True
3,2026,0.35855855855855856,0.3585585585585585,5.551115123125783e-17,True,1.0,1.0,0.0,True,0.5278514588859416,0.5278514588859416,0.0,True,True
3,7,0.3742550655542312,0.3742550655542312,0.0,True,0.7889447236180904,0.7889447236180904,0.0,True,0.50767987065481,0.50767987065481,0.0,True,True
3,999,0.4912663755458515,0.4912663755458515,0.0,True,0.5653266331658291,0.5653266331658291,0.0,True,0.5257009345794392,0.5257009345794392,0.0,True,True
4,42,0.43908045977011495,0.4390804597701149,5.551115123125783e-17,True,0.9182692307692307,0.9182692307692308,-1.1102230246251565e-16,True,0.5940902021772939,0.5940902021772939,0.0,True,True
4,123,0.4302191464821223,0.4302191464821223,0.0,True,0.8966346153846154,0.8966346153846154,0.0,True,0.5814497272018706,0.5814497272018706,0.0,True,True
4,2026,0.44183168316831684,0.4418316831683168,5.551115123125783e-17,True,0.8581730769230769,0.8581730769230769,0.0,True,0.5833333333333334,0.5833333333333334,0.0,True,True
4,7,0.44183168316831684,0.4418316831683168,5.551115123125783e-17,True,0.8581730769230769,0.8581730769230769,0.0,True,0.5833333333333334,0.5833333333333334,0.0,True,True
4,999,0.44183168316831684,0.4418316831683168,5.551115123125783e-17,True,0.8581730769230769,0.8581730769230769,0.0,True,0.5833333333333334,0.5833333333333334,0.0,True,True
5,42,0.39436619718309857,0.3943661971830985,5.551115123125783e-17,True,0.8729016786570744,0.8729016786570744,0.0,True,0.5432835820895522,0.5432835820895522,0.0,True,True
5,123,0.25573770491803277,0.2557377049180327,5.551115123125783e-17,True,0.18705035971223022,0.1870503597122302,2.7755575615628914e-17,True,0.21606648199445982,0.2160664819944598,2.7755575615628914e-17,True,True
5,2026,0.25573770491803277,0.2557377049180327,5.551115123125783e-17,True,0.18705035971223022,0.1870503597122302,2.7755575615628914e-17,True,0.21606648199445982,0.2160664819944598,2.7755575615628914e-17,True,True
5,7,0.39436619718309857,0.3943661971830985,5.551115123125783e-17,True,0.8729016786570744,0.8729016786570744,0.0,True,0.5432835820895522,0.5432835820895522,0.0,True,True
5,999,0.39436619718309857,0.3943661971830985,5.551115123125783e-17,True,0.8729016786570744,0.8729016786570744,0.0,True,0.5432835820895522,0.5432835820895522,0.0,True,True
